sub_forum_id,sub_forum_name,base_url,description,topics_count,posts_count,last_active_datetime_str,last_active_by,last_post_id
208,The Association of Family and Kidshow Performers,https://www.themagiccafe.com/forums/viewforum.php?forum=208&4339,"This forum is for the discussion of topics involving KIDabra International. Posts may include questions about joining, chapter meetings, lectures, conference information and the like. Remember, KIDabra subject matter only.",522,"4,339","Jan 22, 2025 01:49 am",Russo,9944275
389,Magic Stage Left,https://www.themagiccafe.com/forums/viewforum.php?forum=389&39,"Are you a southpaw? This forum is dedicated to us left-handed folks who practice magic in a right-handed world. Share tips, ideas and suggestions for performing and learning magic the left-handed way (which has its own unique challenges).",10,39,"Sep 6, 2024 10:46 pm",Bill,9925574
179,Clowning around,https://www.themagiccafe.com/forums/viewforum.php?forum=179&3883,"Discussions on the art and practice of being a clown. Topics include history, make-up, costumes, funny props, face painting and more. This is also the area to discuss general circus life, history, lingo, etc.",505,"3,883","May 25, 2025 09:19 pm",Shorty,9964356
182,I'm a real boy!,https://www.themagiccafe.com/forums/viewforum.php?forum=182&23881,"Discussions on ventriloquism and the art of making and using puppets. Topics include vent techniques, voice training, types of  dolls, using marionettes, Punch & Judy,  story scripting and more!","2,019","23,881","May 20, 2025 09:01 pm",Russo,9963655
229,"CHANNEL ONE - Magic, Satire & Goodies!",https://www.themagiccafe.com/forums/viewforum.php?forum=229&84,"Come here to discuss the articles, gossip, satire and humor found inside this controversial periodical. All other subject matter is subject to removal.",8,84,"Mar 22, 2021 08:17 pm",Magiguy,9663713
177,Right or Wrong?,https://www.themagiccafe.com/forums/viewforum.php?forum=177&24102,"Thoughts and discussions pertaining to the generally accepted rules and standards of conduct as it relates to members of the magic industry who create, manufacture or publish. This forum is all about Ethics.",891,"24,102","Apr 26, 2025 01:22 pm",lekin,9960682
175,Magic Friday by Jamie D. Grant,https://www.themagiccafe.com/forums/viewforum.php?forum=175&207,"Every Friday a trick is taken out into the real world and performed under test conditions. Join Jamie, Angry Bob and all the rest as we learn which tricks really work and which ones just don't live up to all the hype. Look inside for full details!",173,207,"Jun 10, 2013 12:04 am",Jamie D. Grant,7989831
68,DVD/Video tape scene,https://www.themagiccafe.com/forums/viewforum.php?forum=68&33,My take on the newest titles...,33,33,"Jan 30, 2012 05:14 am",Steve Brooks,7405381
45,We double dare you!,https://www.themagiccafe.com/forums/viewforum.php?forum=45&6943,"Are you creative? This is the place to post ideas on presentation plots, no matter how silly, ridiculous, preposterous, or mundane. Remember, presentations-not methods.",975,"6,943","Apr 14, 2025 05:41 pm",smithart,9959060
30,A tangled web we weave...,https://www.themagiccafe.com/forums/viewforum.php?forum=30&21456,General discussion concerning magic on the internet,"2,937","21,456","May 21, 2025 12:32 pm",Slim King,9963736
