sub_forum_id,sub_forum_name,base_url,description,topics_count,posts_count,last_active_datetime_str,last_active_by,last_post_id
43,A Special Message For Lurkers,https://www.themagiccafe.com/forums/viewforum.php?forum=43&1,Please read...,1,1,9/23/2001 14:25,Steve Brooks,701
1,Welcome to The Magic Café,https://www.themagiccafe.com/forums/viewforum.php?forum=1&2,Thank you for joining us...,2,2,9/7/2001 21:01,Steve Brooks,38
339,The Trading Room,https://www.themagiccafe.com/forums/viewforum.php?forum=339&2,"Looking to buy, sell or trade a pack of cards? Look no further, this is the place for you! But remember, ""Caveat emptor""-let the buyer beware.",2,2,9/24/2013 0:56,Steve Brooks,8107272
167,My Side Of The Screen - by Steve Brooks,https://www.themagiccafe.com/forums/viewforum.php?forum=167&5,"Thoughts and views on magic, the internet, and anything else that's on my mind.",4,5,10/29/2006 7:33,Steve Brooks,4774813
229,"CHANNEL ONE - Magic, Satire & Goodies!",https://www.themagiccafe.com/forums/viewforum.php?forum=229&84,"Come here to discuss the articles, gossip, satire and humor found inside this controversial periodical. All other subject matter is subject to removal.",8,84,3/22/2021 20:17,Magiguy,9663713
39,When dining with us...(Please Read),https://www.themagiccafe.com/forums/viewforum.php?forum=39&8,"Café rules & etiquette, Posting guidelines, Magic transactions, Secret sessions, Avatars, Icons and How to make a post.",8,8,12/28/2007 3:55,Steve Brooks,5354523
389,Magic Stage Left,https://www.themagiccafe.com/forums/viewforum.php?forum=389&39,"Are you a southpaw? This forum is dedicated to us left-handed folks who practice magic in a right-handed world. Share tips, ideas and suggestions for performing and learning magic the left-handed way (which has its own unique challenges).",10,39,9/6/2024 22:46,Bill,9925574
169,A Hundreth Pleasant Conceipts - by Curtis Kam,https://www.themagiccafe.com/forums/viewforum.php?forum=169&17,Adventures in advanced coinmanship.,10,17,11/9/2005 10:58,Curtis Kam,4329138
386,'Nothing But The Truth' by Craig Petty,https://www.themagiccafe.com/forums/viewforum.php?forum=386&186,"A sporadically posted video show voicing personal commentary on the magic community at large. The show also includes reviews of tricks, books, videos, downloads, lectures and conventions. This is the official forum to discuss the various episodes. Any off topic discussions will be removed with no explanation given. Enter at your own risk...",12,186,12/13/2021 13:54,Dougini,9723771
172,The Illusionarium - by Peter Loughran,https://www.themagiccafe.com/forums/viewforum.php?forum=172&19,"Featuring concept, design, performance, and theory in the world of illusion.",13,19,5/28/2010 12:46,Peter Loughran,6607785
